name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Japan,2025-02-01,11.3,3.3,7.4,11.3,-0.2,6.3,-2.9,49.1,0,0,0,,0,0,15.8,15.1,32.6,1021.2,20.6,19.9,152.9,13.4,6,10,2025-02-01T06:41:06,2025-02-01T17:08:04,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Japan,2025-02-02,8.8,3.2,4.8,7.7,-0.1,3,3,88.6,7.029,100,54.17,rain,0,0,32,13.1,336.1,1016.8,92.5,13,33.7,3,2,10,2025-02-02T06:40:19,2025-02-02T17:09:07,0.13,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Japan,2025-02-03,9.1,4.2,6.1,8.9,1.9,5.1,1.8,74.5,0,0,0,,0,0,19.4,11.1,324.4,1008.3,80.4,17.1,82.2,7.1,4,10,2025-02-03T06:39:30,2025-02-03T17:10:09,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Japan,2025-02-04,10.1,3.2,6.1,10.1,0.5,4.4,-2.6,56,0,0,0,"rain,snow",0,0,31.3,14.8,306.7,999.4,33.2,20.3,119.8,10.2,5,10,2025-02-04T06:38:40,2025-02-04T17:11:12,0.2,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Japan,2025-02-05,7.8,0.7,4.1,6.2,-2.2,1.4,-8.4,41.8,0,0,0,,0,0,41.8,24.2,256.4,1001.4,12.9,23.1,162.9,14,6,10,2025-02-05T06:37:49,2025-02-05T17:12:14,0.25,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Japan,2025-02-06,8,-0.3,4.1,6,-4.2,0.8,-9.9,36.1,0,0,0,,0,0,44.6,23.4,225.4,1007.9,23.2,13.8,168,14.6,6,10,2025-02-06T06:36:56,2025-02-06T17:13:16,0.27,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,RJTY,RJTI,47626099999,RJTF,47682099999,RJTT,RJAA"
Japan,2025-02-07,10.1,0.1,5.1,10.1,-0.5,3.2,-10.6,32.2,0,0,0,snow,0,0,46.8,27.9,234.7,1006.7,7,19.8,141.9,12.3,6,10,2025-02-07T06:36:01,2025-02-07T17:14:18,0.31,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47671099999,47670099999,47680099999,47642043313,RJTY,47626099999,47682099999,RJTT,RJAA"
Japan,2025-02-08,9.1,0.6,4.6,6.4,-6.1,1.1,-8.7,38.5,0,0,0,,0,0,60.8,35.8,306.9,1006.7,3.5,21.9,179.4,15.6,7,10,2025-02-08T06:35:05,2025-02-08T17:15:20,0.34,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47671099999,47670099999,47686099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Japan,2025-02-09,11.1,1.2,5.1,11.1,-2.1,2.9,-9.2,36.5,0,0,0,,0,0,54,16.5,320.2,1014.8,2,23.1,183.1,15.7,7,10,2025-02-09T06:34:08,2025-02-09T17:16:22,0.38,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,47626099999,47682099999"
Japan,2025-02-10,11.1,-0.1,5.4,11.1,-3.5,3.9,-7.5,40.7,0,0,0,,0,0,33.1,12.8,311.7,1016.3,4.2,21.9,168.7,14.6,7,10,2025-02-10T06:33:09,2025-02-10T17:17:23,0.41,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Japan,2025-02-11,9.7,0.7,5.2,6.8,-1.1,2.8,-6.8,43.3,0,0,0,,0,0,49,27.7,320.3,1020.1,2.6,21.5,188.3,16.2,7,10,2025-02-11T06:32:09,2025-02-11T17:18:24,0.45,Clear,Clear conditions throughout the day.,clear-day,"47662099999,47670099999,47642043313,47680099999,RJTY,47626099999,47682099999,RJTT,RJAA"
Japan,2025-02-12,12.3,1.5,6.9,12.3,-0.7,5.8,-2,53.5,0,0,0,,0,0,74.2,42.6,217.1,1016.7,41.2,11.8,161.6,13.9,7,10,2025-02-12T06:31:08,2025-02-12T17:19:25,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"47662099999,47670099999,47642043313,47680099999,RJTY,RJTI,47626099999,RJTF,47682099999,RJTT,RJAA"
Japan,2025-02-13,11.9,4.1,8.4,11.9,-1.5,5.9,-3,48,0,0,0,,0,0,80,46.2,328.1,1003.6,31,10.4,191.8,16.4,7,10,2025-02-13T06:30:06,2025-02-13T17:20:25,0.52,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"RJTY,RJTI,RJTF,RJTT,RJAA"
Japan,2025-02-14,11.5,3.9,7.5,11.5,-1.3,5.5,-8.6,32.4,0,0,0,,0,0,38.5,32.2,319.9,1015.1,36,20.2,175.1,15,7,10,2025-02-14T06:29:02,2025-02-14T17:21:25,0.55,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"RJTY,RJTT,RJAA"
Japan,2025-02-15,10.8,5.1,8.4,10.8,2,7.3,-3.5,43.1,0,3.2,0,,0,0,26.3,15.5,13.1,1018.2,32.5,24.1,159.1,13.6,6,10,2025-02-15T06:27:57,2025-02-15T17:22:25,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Japan,2025-02-16,13.4,7,10.5,13.4,5.2,9.8,-3.6,37.9,0,6.5,0,,0,0,19.1,10.8,0.3,1013.3,69.9,24.1,173.7,15,7,10,2025-02-16T06:26:51,2025-02-16T17:23:25,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Japan,2025-02-17,15,6.2,10,15,1.5,8.3,-4.4,37,0,6.5,0,,0,0,59,49.7,328.5,1004.8,21.2,24.1,195.2,17,7,10,2025-02-17T06:25:44,2025-02-17T17:24:24,0.65,Partially cloudy,Partly cloudy throughout the day.,wind,
Japan,2025-02-18,8.2,3.3,5.4,7.2,-3.1,1.1,-13.5,24.6,0.2,6.5,8.33,rain,0,0,49.7,40.7,334.2,1010.4,42.9,23.7,199.8,17.2,7,10,2025-02-18T06:24:36,2025-02-18T17:25:23,0.68,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,
Japan,2025-02-19,5.8,2.6,4,0.6,-2.6,-1.3,-14.4,25.5,0.1,3.2,4.17,rain,0,0,50.4,40.3,339,1015,24.8,24.1,174,15,6,10,2025-02-19T06:23:26,2025-02-19T17:26:21,0.71,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
Indonesia,2025-02-01,30,24.8,27.5,35.2,24.8,30.3,24,82.1,1.155,100,8.33,rain,0,0,37.1,15.3,294.3,1007.2,68.5,6.7,223.5,19.3,7,10,2025-02-01T05:55:12,2025-02-01T18:17:24,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96749599999,96745099999"
Indonesia,2025-02-02,30.6,25.6,28.2,36,25.6,32.2,24.8,82.4,1.299,100,8.33,rain,0,0,39.6,16.8,329.2,1007.2,69.3,6.2,213.3,18.4,8,10,2025-02-02T05:55:28,2025-02-02T18:17:23,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96749599999,96745099999"
Indonesia,2025-02-03,30.1,26.3,28.2,36,26.3,32.5,24.7,81.6,0.013,100,4.17,rain,0,0,30.2,15.3,309.6,1008.3,68.9,6.3,221.3,19.2,8,30,2025-02-03T05:55:43,2025-02-03T18:17:21,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
Indonesia,2025-02-04,30.6,24.9,27.3,37.3,24.9,30.2,24.3,83.9,1.26,100,8.33,rain,0,0,47.5,17.6,290.2,1008.4,62,5.9,223.3,19.2,9,10,2025-02-04T05:55:58,2025-02-04T18:17:18,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96751099999,96749599999,96745099999"
Indonesia,2025-02-05,31,24.9,27.9,36.5,24.9,30.8,23.6,77.7,0.034,100,8.33,rain,0,0,53.6,18.9,277.8,1007,58.2,6.7,253.5,21.9,8,10,2025-02-05T05:56:11,2025-02-05T18:17:14,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,WIHH,96739099999,96749099999,96749599999,96745099999"
